date,Alarm Year,Alarm Month,Alarm Day,Major Incident Type,Incident Count,id
23/02/2010,2010,2,23,Hazardous Condition,19,2010-02-23Hazardous Condition
23/02/2010,2010,2,23,Investigation,11,2010-02-23Investigation
23/02/2010,2010,2,23,Medical/Rescue,56,2010-02-23Medical/Rescue
23/02/2010,2010,2,23,Public Service Assistance,6,2010-02-23Public Service Assistance
24/02/2010,2010,2,24,False Alarm,30,2010-02-24False Alarm
24/02/2010,2010,2,24,Fire,7,2010-02-24Fire
24/02/2010,2010,2,24,Hazardous Condition,19,2010-02-24Hazardous Condition
24/02/2010,2010,2,24,Investigation,11,2010-02-24Investigation
24/02/2010,2010,2,24,Medical/Rescue,57,2010-02-24Medical/Rescue
24/02/2010,2010,2,24,Public Service Assistance,4,2010-02-24Public Service Assistance
25/02/2010,2010,2,25,False Alarm,23,2010-02-25False Alarm
25/02/2010,2010,2,25,Fire,2,2010-02-25Fire
25/02/2010,2010,2,25,Hazardous Condition,6,2010-02-25Hazardous Condition
25/02/2010,2010,2,25,Investigation,6,2010-02-25Investigation
25/02/2010,2010,2,25,Medical/Rescue,69,2010-02-25Medical/Rescue
25/02/2010,2010,2,25,Public Service Assistance,5,2010-02-25Public Service Assistance
26/02/2010,2010,2,26,False Alarm,24,2010-02-26False Alarm
26/02/2010,2010,2,26,Hazardous Condition,24,2010-02-26Hazardous Condition
26/02/2010,2010,2,26,Investigation,12,2010-02-26Investigation
26/02/2010,2010,2,26,Medical/Rescue,62,2010-02-26Medical/Rescue
26/02/2010,2010,2,26,Public Service Assistance,7,2010-02-26Public Service Assistance
27/02/2010,2010,2,27,False Alarm,12,2010-02-27False Alarm
27/02/2010,2010,2,27,Fire,3,2010-02-27Fire
27/02/2010,2010,2,27,Hazardous Condition,16,2010-02-27Hazardous Condition
27/02/2010,2010,2,27,Investigation,8,2010-02-27Investigation
27/02/2010,2010,2,27,Medical/Rescue,58,2010-02-27Medical/Rescue
27/02/2010,2010,2,27,Public Service Assistance,10,2010-02-27Public Service Assistance
28/02/2010,2010,2,28,False Alarm,14,2010-02-28False Alarm
28/02/2010,2010,2,28,Fire,2,2010-02-28Fire
28/02/2010,2010,2,28,Hazardous Condition,20,2010-02-28Hazardous Condition
28/02/2010,2010,2,28,Investigation,11,2010-02-28Investigation
28/02/2010,2010,2,28,Medical/Rescue,59,2010-02-28Medical/Rescue
28/02/2010,2010,2,28,Public Service Assistance,10,2010-02-28Public Service Assistance
01/03/2010,2010,3,1,False Alarm,15,2010-03-01False Alarm
01/03/2010,2010,3,1,Fire,4,2010-03-01Fire
01/03/2010,2010,3,1,Hazardous Condition,24,2010-03-01Hazardous Condition
01/03/2010,2010,3,1,Investigation,10,2010-03-01Investigation
01/03/2010,2010,3,1,Medical/Rescue,73,2010-03-01Medical/Rescue
01/03/2010,2010,3,1,Public Service Assistance,9,2010-03-01Public Service Assistance
02/03/2010,2010,3,2,False Alarm,22,2010-03-02False Alarm
02/03/2010,2010,3,2,Fire,5,2010-03-02Fire
02/03/2010,2010,3,2,Hazardous Condition,19,2010-03-02Hazardous Condition
02/03/2010,2010,3,2,Investigation,10,2010-03-02Investigation
02/03/2010,2010,3,2,Medical/Rescue,57,2010-03-02Medical/Rescue
02/03/2010,2010,3,2,Public Service Assistance,9,2010-03-02Public Service Assistance
03/03/2010,2010,3,3,False Alarm,21,2010-03-03False Alarm
03/03/2010,2010,3,3,Fire,4,2010-03-03Fire
03/03/2010,2010,3,3,Hazardous Condition,19,2010-03-03Hazardous Condition
03/03/2010,2010,3,3,Investigation,11,2010-03-03Investigation
03/03/2010,2010,3,3,Medical/Rescue,71,2010-03-03Medical/Rescue
03/03/2010,2010,3,3,Public Service Assistance,5,2010-03-03Public Service Assistance
04/03/2010,2010,3,4,False Alarm,20,2010-03-04False Alarm
04/03/2010,2010,3,4,Fire,5,2010-03-04Fire
04/03/2010,2010,3,4,Hazardous Condition,25,2010-03-04Hazardous Condition
04/03/2010,2010,3,4,Investigation,10,2010-03-04Investigation
04/03/2010,2010,3,4,Medical/Rescue,73,2010-03-04Medical/Rescue
04/03/2010,2010,3,4,Public Service Assistance,9,2010-03-04Public Service Assistance
05/03/2010,2010,3,5,False Alarm,15,2010-03-05False Alarm
05/03/2010,2010,3,5,Fire,7,2010-03-05Fire
05/03/2010,2010,3,5,Hazardous Condition,26,2010-03-05Hazardous Condition
05/03/2010,2010,3,5,Investigation,11,2010-03-05Investigation
05/03/2010,2010,3,5,Medical/Rescue,71,2010-03-05Medical/Rescue
05/03/2010,2010,3,5,Public Service Assistance,4,2010-03-05Public Service Assistance
06/03/2010,2010,3,6,False Alarm,13,2010-03-06False Alarm
06/03/2010,2010,3,6,Fire,5,2010-03-06Fire
06/03/2010,2010,3,6,Hazardous Condition,15,2010-03-06Hazardous Condition
06/03/2010,2010,3,6,Investigation,17,2010-03-06Investigation
06/03/2010,2010,3,6,Medical/Rescue,54,2010-03-06Medical/Rescue
06/03/2010,2010,3,6,Public Service Assistance,12,2010-03-06Public Service Assistance
07/03/2010,2010,3,7,False Alarm,11,2010-03-07False Alarm
07/03/2010,2010,3,7,Fire,8,2010-03-07Fire
07/03/2010,2010,3,7,Hazardous Condition,17,2010-03-07Hazardous Condition
07/03/2010,2010,3,7,Investigation,14,2010-03-07Investigation
07/03/2010,2010,3,7,Public Service Assistance,10,2010-03-07Public Service Assistance
08/03/2010,2010,3,8,False Alarm,16,2010-03-08False Alarm
08/03/2010,2010,3,8,Fire,5,2010-03-08Fire
08/03/2010,2010,3,8,Hazardous Condition,19,2010-03-08Hazardous Condition
08/03/2010,2010,3,8,Investigation,9,2010-03-08Investigation
08/03/2010,2010,3,8,Medical/Rescue,63,2010-03-08Medical/Rescue
08/03/2010,2010,3,8,Public Service Assistance,4,2010-03-08Public Service Assistance
09/03/2010,2010,3,9,False Alarm,19,2010-03-09False Alarm
09/03/2010,2010,3,9,Hazardous Condition,28,2010-03-09Hazardous Condition
09/03/2010,2010,3,9,Investigation,7,2010-03-09Investigation
09/03/2010,2010,3,9,Medical/Rescue,45,2010-03-09Medical/Rescue
10/03/2010,2010,3,10,False Alarm,12,2010-03-10False Alarm
10/03/2010,2010,3,10,Hazardous Condition,12,2010-03-10Hazardous Condition
10/03/2010,2010,3,10,Investigation,15,2010-03-10Investigation
10/03/2010,2010,3,10,Medical/Rescue,65,2010-03-10Medical/Rescue
10/03/2010,2010,3,10,Public Service Assistance,2,2010-03-10Public Service Assistance
11/03/2010,2010,3,11,False Alarm,18,2010-03-11False Alarm
11/03/2010,2010,3,11,Fire,6,2010-03-11Fire
11/03/2010,2010,3,11,Hazardous Condition,19,2010-03-11Hazardous Condition
11/03/2010,2010,3,11,Investigation,10,2010-03-11Investigation
11/03/2010,2010,3,11,Medical/Rescue,58,2010-03-11Medical/Rescue
11/03/2010,2010,3,11,Public Service Assistance,3,2010-03-11Public Service Assistance
12/03/2010,2010,3,12,False Alarm,19,2010-03-12False Alarm
12/03/2010,2010,3,12,Fire,10,2010-03-12Fire
12/03/2010,2010,3,12,Hazardous Condition,18,2010-03-12Hazardous Condition
12/03/2010,2010,3,12,Investigation,10,2010-03-12Investigation
12/03/2010,2010,3,12,Medical/Rescue,45,2010-03-12Medical/Rescue
12/03/2010,2010,3,12,Public Service Assistance,3,2010-03-12Public Service Assistance
13/03/2010,2010,3,13,False Alarm,13,2010-03-13False Alarm
13/03/2010,2010,3,13,Fire,9,2010-03-13Fire
13/03/2010,2010,3,13,Hazardous Condition,19,2010-03-13Hazardous Condition
13/03/2010,2010,3,13,Investigation,22,2010-03-13Investigation
13/03/2010,2010,3,13,Medical/Rescue,57,2010-03-13Medical/Rescue
13/03/2010,2010,3,13,Public Service Assistance,6,2010-03-13Public Service Assistance
14/03/2010,2010,3,14,False Alarm,12,2010-03-14False Alarm
14/03/2010,2010,3,14,Fire,5,2010-03-14Fire
14/03/2010,2010,3,14,Hazardous Condition,18,2010-03-14Hazardous Condition
14/03/2010,2010,3,14,Investigation,13,2010-03-14Investigation
14/03/2010,2010,3,14,Medical/Rescue,42,2010-03-14Medical/Rescue
14/03/2010,2010,3,14,Public Service Assistance,6,2010-03-14Public Service Assistance
15/03/2010,2010,3,15,False Alarm,18,2010-03-15False Alarm
15/03/2010,2010,3,15,Hazardous Condition,18,2010-03-15Hazardous Condition
15/03/2010,2010,3,15,Investigation,13,2010-03-15Investigation
15/03/2010,2010,3,15,Medical/Rescue,65,2010-03-15Medical/Rescue
15/03/2010,2010,3,15,Public Service Assistance,9,2010-03-15Public Service Assistance
16/03/2010,2010,3,16,False Alarm,22,2010-03-16False Alarm
16/03/2010,2010,3,16,Fire,13,2010-03-16Fire
16/03/2010,2010,3,16,Hazardous Condition,19,2010-03-16Hazardous Condition
16/03/2010,2010,3,16,Investigation,19,2010-03-16Investigation
16/03/2010,2010,3,16,Medical/Rescue,64,2010-03-16Medical/Rescue
16/03/2010,2010,3,16,Public Service Assistance,7,2010-03-16Public Service Assistance
17/03/2010,2010,3,17,False Alarm,29,2010-03-17False Alarm
17/03/2010,2010,3,17,Fire,12,2010-03-17Fire
17/03/2010,2010,3,17,Hazardous Condition,21,2010-03-17Hazardous Condition
17/03/2010,2010,3,17,Investigation,14,2010-03-17Investigation
17/03/2010,2010,3,17,Medical/Rescue,65,2010-03-17Medical/Rescue
17/03/2010,2010,3,17,Public Service Assistance,6,2010-03-17Public Service Assistance
18/03/2010,2010,3,18,False Alarm,23,2010-03-18False Alarm
18/03/2010,2010,3,18,Fire,4,2010-03-18Fire
18/03/2010,2010,3,18,Hazardous Condition,22,2010-03-18Hazardous Condition
18/03/2010,2010,3,18,Investigation,9,2010-03-18Investigation
18/03/2010,2010,3,18,Medical/Rescue,66,2010-03-18Medical/Rescue
18/03/2010,2010,3,18,Public Service Assistance,6,2010-03-18Public Service Assistance
19/03/2010,2010,3,19,False Alarm,21,2010-03-19False Alarm
19/03/2010,2010,3,19,Fire,4,2010-03-19Fire
19/03/2010,2010,3,19,Hazardous Condition,20,2010-03-19Hazardous Condition
19/03/2010,2010,3,19,Investigation,10,2010-03-19Investigation
19/03/2010,2010,3,19,Medical/Rescue,63,2010-03-19Medical/Rescue
19/03/2010,2010,3,19,Public Service Assistance,5,2010-03-19Public Service Assistance
20/03/2010,2010,3,20,False Alarm,20,2010-03-20False Alarm
